,right,cam,rate
0,1,0,0.7131782945736435
1,1,0,0.7131782945736435
2,1,2,0.7131782945736435
3,1,0,0.7131782945736435
4,1,48,0.7131782945736435
5,1,0,0.7131782945736435
6,1,3,0.7131782945736435
7,1,4,0.7131782945736435
8,1,17,0.7131782945736435
9,1,0,0.7131782945736435
10,1,18,0.7131782945736435
11,1,0,0.7131782945736435
12,1,0,0.7131782945736435
13,1,0,0.7131782945736435
14,1,0,0.7131782945736435
15,1,5,0.7131782945736435
16,1,49,0.7131782945736435
17,1,50,0.7131782945736435
18,1,19,0.7131782945736435
19,1,0,0.7131782945736435
20,1,20,0.7131782945736435
21,1,0,0.7131782945736435
22,1,21,0.7131782945736435
23,1,0,0.7131782945736435
24,1,51,0.7131782945736435
25,1,0,0.7131782945736435
26,1,0,0.7131782945736435
27,1,0,0.7131782945736435
28,1,0,0.7131782945736435
29,1,0,0.7131782945736435
30,1,52,0.7131782945736435
31,1,0,0.7131782945736435
32,1,0,0.7131782945736435
33,1,0,0.7131782945736435
34,1,0,0.7131782945736435
35,1,0,0.7131782945736435
36,1,0,0.7131782945736435
37,1,0,0.7131782945736435
38,1,0,0.7131782945736435
39,1,0,0.7131782945736435
40,1,0,0.7131782945736435
41,1,0,0.7131782945736435
42,1,53,0.7131782945736435
43,1,6,0.7131782945736435
44,1,0,0.7131782945736435
45,1,54,0.7131782945736435
46,1,0,0.7131782945736435
47,1,0,0.7131782945736435
48,1,0,0.7131782945736435
49,1,0,0.7131782945736435
50,1,0,0.7131782945736435
51,1,55,0.7131782945736435
52,1,0,0.7131782945736435
53,1,0,0.7131782945736435
54,1,0,0.7131782945736435
55,1,0,0.7131782945736435
56,1,0,0.7131782945736435
57,1,0,0.7131782945736435
58,1,0,0.7131782945736435
59,1,0,0.7131782945736435
60,1,0,0.7131782945736435
61,1,0,0.7131782945736435
62,1,0,0.7131782945736435
63,1,14,0.7131782945736435
64,1,0,0.7131782945736435
65,1,0,0.7131782945736435
66,1,0,0.7131782945736435
67,1,0,0.7131782945736435
68,1,0,0.7131782945736435
69,1,0,0.7131782945736435
70,1,0,0.7131782945736435
71,1,0,0.7131782945736435
72,1,0,0.7131782945736435
73,1,0,0.7131782945736435
74,1,0,0.7131782945736435
75,1,0,0.7131782945736435
76,1,0,0.7131782945736435
77,1,0,0.7131782945736435
78,1,0,0.7131782945736435
79,1,0,0.7131782945736435
80,1,0,0.7131782945736435
81,1,7,0.7131782945736435
82,1,0,0.7131782945736435
83,1,0,0.7131782945736435
84,1,0,0.7131782945736435
85,1,0,0.7131782945736435
86,1,0,0.7131782945736435
87,1,8,0.7131782945736435
88,1,0,0.7131782945736435
89,1,0,0.7131782945736435
90,1,0,0.7131782945736435
91,1,0,0.7131782945736435
92,1,0,0.7131782945736435
93,1,0,0.7131782945736435
94,1,0,0.7131782945736435
95,1,0,0.7131782945736435
96,1,0,0.7131782945736435
97,1,0,0.7131782945736435
98,1,0,0.7131782945736435
99,1,56,0.7131782945736435
100,1,0,0.7131782945736435
101,1,0,0.7131782945736435
102,1,0,0.7131782945736435
103,1,0,0.7131782945736435
104,1,0,0.7131782945736435
105,1,0,0.7131782945736435
106,1,0,0.7131782945736435
107,1,0,0.7131782945736435
108,1,0,0.7131782945736435
109,1,57,0.7131782945736435
110,1,0,0.7131782945736435
111,1,0,0.7131782945736435
112,1,0,0.7131782945736435
113,1,0,0.7131782945736435
